Year,Quarter,Airline,PaxToIndia,PaxFromIndia,FreightToIndia,FreightFromIndia
0,17.038,AERO NOMAD,1165,23,4,1195
0,19.517,AERO NOMAD,536,22,4,565
0,20.139,AERO NOMAD,2851,23,3,4846
0,21.367,AERO NOMAD,1032,23,1,1597
0,41.874,AERO NOMAD,4741,24,2,1036
0.118,45.036,AERO NOMAD,4257,23,2,1422
1.152,9.902,AERO NOMAD,1371,24,1,1233
0,28.955,AEROFLOT,364,20,2,1034
101.091,487.671,AEROFLOT,11881,22,3,11872
102.066,1616.754,AEROFLOT,29953,18,2,37684
106.259,363.339,AEROFLOT,25050,20,1,30666
108.735,1538.481,AEROFLOT,36155,18,1,43241
11.201,223.663,AEROFLOT,259,20,4,164
112.699,678.173,AEROFLOT,16826,22,4,14155
115.189,788.346,AEROFLOT,17934,23,1,18786
116.624,1108.939,AEROFLOT,40205,23,4,35956
116.979,1819.59,AEROFLOT,42274,17,4,36743
124.487,294.996,AEROFLOT,4030,21,2,6888
125.188,535.858,AEROFLOT,15168,23,3,22261
145.66,1166.98,AEROFLOT,39385,19,2,48794
162.327,984.922,AEROFLOT,20803,24,2,25733
175.981,715.225,AEROFLOT,43190,19,4,37909
198.743,789.88,AEROFLOT,18127,23,2,21335
244.108,400.104,AEROFLOT,18419,16,1,22049
27.083,148.594,AEROFLOT,2715,21,1,3535
27.161,218.829,AEROFLOT,23734,16,3,22647
27.957,438.913,AEROFLOT,20204,15,4,17051
28.132,255.077,AEROFLOT,18835,16,2,23068
30.477,627.913,AEROFLOT,16208,15,3,17586
37.169,1098.322,AEROFLOT,32204,17,1,39610
38.566,166.913,AEROFLOT,4458,22,2,4349
38.619,425.562,AEROFLOT,35350,16,4,29555
45.988,1022.85,AEROFLOT,14189,15,2,19447
47.186,361.92,AEROFLOT,6833,21,3,8503
47.33,937.696,AEROFLOT,15213,15,1,19039
483.524,1057.297,AEROFLOT,58943,19,3,61344
54.06,307.876,AEROFLOT,5552,22,1,6337
83.716,860.139,AEROFLOT,43922,18,4,36427
86.051,1848.004,AEROFLOT,36487,17,3,36732
86.318,1666.734,AEROFLOT,30329,17,2,37473
86.99,1452.102,AEROFLOT,38609,24,1,41653
89.543,1376.237,AEROFLOT,37350,18,3,38966
9.733,123.066,AEROFLOT,16,20,3,321
96.153,445.513,AEROFLOT,8495,21,4,8878
